pressurec2,energy_densityc2,baryon_density,cs2c2
3.363073413999999948e-07,1.315441163999999930e+01,1.315441163999999930e+01,6.356776339283956516e-08
2.144396522999999945e-06,4.159790382999999991e+01,4.159790382999999991e+01,7.909001277990086728e-08
1.367331569000000082e-05,1.315441332999999986e+02,1.315441332999999986e+02,1.594741591577522468e-07
8.718516371999999971e-05,4.159791462000000024e+02,4.159791462000000024e+02,3.215577075292344663e-07
5.559187651000000374e-04,1.315442021000000068e+03,1.315442021000000068e+03,6.483766713732800950e-07
3.544704858000000125e-03,4.159795850000000428e+03,4.159795850000000428e+03,1.307361052390059658e-06
2.260210182000000137e-02,1.315444818999999916e+04,1.315444818999999916e+04,2.636107466289168821e-06
1.441177832999999964e-01,4.159813689999999769e+04,4.159813689999999769e+04,5.315320815510021802e-06
9.189382310999999470e-01,1.315456193999999959e+05,1.315456193999999959e+05,1.071749868388979188e-05
5.859425902999999991e+00,4.159886222999999882e+05,4.159886222999999882e+05,2.183016939092751965e-05
2.579215579999999974e+01,1.044900896999999997e+06,1.044900896999999997e+06,3.758286005117428106e-05
1.085429161999999934e+02,2.624819643999999855e+06,2.624819643999999855e+06,6.089640101370819621e-05
4.351730860000000121e+02,6.593660997999999672e+06,6.593660997999999672e+06,8.620289879121797766e-05
5.851637073000000555e+02,8.300391074000000022e+06,8.300391074000000022e+06,9.380472288020790753e-05
1.596710248999999976e+03,1.656005740000000037e+07,1.656005740000000037e+07,1.355958746074095451e-04
4.264941034000000400e+03,3.305044657999999821e+07,3.305044657999999821e+07,1.780637617119468869e-04
1.119366208999999981e+04,6.596374321999999881e+07,6.596374321999999881e+07,2.306610316150913833e-04
2.897444940000000133e+04,1.316128654000000060e+08,1.316128654000000060e+08,2.958676868733208670e-04
7.428318901000000187e+04,2.626361709000000060e+08,2.626361709000000060e+08,3.402214749120653289e-04
9.722685822999999800e+04,3.306532756999999881e+08,3.306532756999999881e+08,3.624932124680879642e-04
1.812572122000000090e+05,5.242158065000000000e+08,5.242158065000000000e+08,4.627525399380323038e-04
3.370338218999999808e+05,8.308045666000000238e+08,8.308045666000000238e+08,5.434955033527364039e-04
4.594297295000000158e+05,1.046153806000000000e+09,1.046153806000000000e+09,5.891851550643463368e-04
5.603507186999999685e+05,1.212880410000000000e+09,1.212880410000000000e+09,5.788760807970199859e-04
7.633053872999999439e+05,1.605752952000000000e+09,1.605752952000000000e+09,5.687879322554441341e-04
1.415341767999999924e+06,2.545731342000000000e+09,2.545731342000000000e+09,7.120652320549662869e-04
2.621497802999999840e+06,4.167350847000000000e+09,4.167350847000000000e+09,8.120677807186269838e-04
4.853554081000000238e+06,6.607314325000000000e+09,6.607314325000000000e+09,9.780602745790515501e-04
6.300051171000000089e+06,8.032415205000000000e+09,8.032415205000000000e+09,1.045582756706318461e-03
8.569938911000000313e+06,1.011441787000000000e+10,1.011441787000000000e+10,1.055282270902546757e-03
1.166099191999999993e+07,1.319449737000000000e+10,1.319449737000000000e+10,1.109723654132732315e-03
1.585583348000000045e+07,1.661185689000000000e+10,1.661185689000000000e+10,1.270784902966821169e-03
2.156393353999999911e+07,2.091879938000000000e+10,2.091879938000000000e+10,1.372510441466400291e-03
2.785063242999999970e+07,2.534299834000000000e+10,2.534299834000000000e+10,1.370659853736519614e-03
3.787596995000000298e+07,3.316494118000000000e+10,3.316494118000000000e+10,1.425968465785854011e-03
5.149529639000000060e+07,4.176024723000000000e+10,4.176024723000000000e+10,1.640838205200589959e-03
6.619393220000000298e+07,5.041881130000000000e+10,5.041881130000000000e+10,1.629731209235988059e-03
9.000549968000000715e+07,6.623191083000000000e+10,6.623191083000000000e+10,1.687199938573572932e-03
1.223959075999999940e+08,8.342090054000000000e+10,8.342090054000000000e+10,1.951000837419909284e-03
1.613400600000000000e+08,1.026475399000000000e+11,1.026475399000000000e+11,1.082922902532689694e-03
1.663471653000000119e+08,1.092369806000000000e+11,1.092369806000000000e+11,9.432011677163019579e-04
2.262098910000000000e+08,1.416720402000000000e+11,1.416720402000000000e+11,2.031000974258121913e-03
2.889656108999999762e+08,1.702695077000000000e+11,1.702695077000000000e+11,2.258528919160385055e-03
3.217899680000000000e+08,1.845992968000000000e+11,1.845992968000000000e+11,2.097032583966948558e-03
3.660750326999999881e+08,2.098131878000000000e+11,2.098131878000000000e+11,1.847074002196466731e-03
4.977062678999999762e+08,2.732426038000000000e+11,2.732426038000000000e+11,2.298557212739946003e-03
6.471405441000000238e+08,3.328183529000000000e+11,3.328183529000000000e+11,2.389883306685612000e-03
8.387457740000000000e+08,4.191978553000000000e+11,4.191978553000000000e+11,2.622572859459342334e-03
8.684545987999999523e+08,4.303057214000000000e+11,4.303057214000000000e+11,2.686066028036094254e-03
8.779124643999999762e+08,4.338220441000000000e+11,4.338220441000000000e+11,2.693278480809537054e-03
9.293187456000000238e+08,4.527733490000000000e+11,4.527733490000000000e+11,2.731315756976028953e-03
1.012325425000000000e+09,4.828363472000000000e+11,4.828363472000000000e+11,2.789954648109020750e-03
1.056054144000000000e+09,4.984263386000000000e+11,4.984263386000000000e+11,2.819487280406632237e-03
1.093885607000000000e+09,5.117850596000000000e+11,5.117850596000000000e+11,2.652636196846752323e-03
1.205043345000000000e+09,5.721002281000000000e+11,5.721002281000000000e+11,1.802696339186676041e-03
2.397513292000000000e+09,2.115898649000000000e+12,2.115898649000000000e+12,1.103457154946739429e-03
3.813411404000000000e+09,3.179301310000000000e+12,3.179301310000000000e+12,1.437036271126527522e-03
5.861540014000000000e+09,4.486510445000000000e+12,4.486510445000000000e+12,1.669647449849719989e-03
8.676312082000000000e+09,6.056241610000000000e+12,6.056241610000000000e+12,1.891456739103759225e-03
1.240315620000000000e+10,7.912515056000000000e+12,7.912515056000000000e+12,2.093937483317163343e-03
2.324854630000000000e+10,1.260368851000000000e+13,1.260368851000000000e+13,2.464275579994988381e-03
3.987992476000000000e+10,1.883996563000000000e+13,1.883996563000000000e+13,2.807178759421058607e-03
6.410318756000000000e+10,2.694281355000000000e+13,2.694281355000000000e+13,3.154331980542906221e-03
9.593209478000000000e+10,3.645031660000000000e+13,3.656286196000000000e+13,6.617686470477263279e-03
9.908136567000000000e+10,3.691498223000000000e+13,3.702773149000000000e+13,7.064923233797700680e-03
1.023340212000000000e+11,3.735817959000000000e+13,3.747108379000000000e+13,7.602545111788167748e-03
1.056934554000000000e+11,3.778576578000000000e+13,3.789878091000000000e+13,8.089103325849986148e-03
1.091631734000000000e+11,3.820300763000000000e+13,3.831609287000000000e+13,8.512913096205514465e-03
1.127467958000000000e+11,3.861457285000000000e+13,3.872768906000000000e+13,8.867991301172590754e-03
1.164480618000000000e+11,3.902454643000000000e+13,3.913765478000000000e+13,9.154108660720037052e-03
1.202708335000000000e+11,3.943644971000000000e+13,3.954951057000000000e+13,9.376019259465021710e-03
1.242190995000000000e+11,3.985326656000000000e+13,3.996623854000000000e+13,9.542052258062748774e-03
1.282969798000000000e+11,4.027747506000000000e+13,4.039031422000000000e+13,9.662181058087613433e-03
1.325087292000000000e+11,4.071111532000000000e+13,4.082377450000000000e+13,9.746442135080583130e-03
1.368587425000000000e+11,4.115584698000000000e+13,4.126827536000000000e+13,9.803685517722312420e-03
1.413515585000000000e+11,4.161304765000000000e+13,4.172519023000000000e+13,9.840385766451676536e-03
1.459918652000000000e+11,4.208393509000000000e+13,4.219573233000000000e+13,9.860350667101894923e-03
1.507845046000000000e+11,4.256968361000000000e+13,4.268107094000000000e+13,9.864765962802019700e-03
1.557344773000000000e+11,4.307155802000000000e+13,4.318246527000000000e+13,9.852228238849555786e-03
1.608469483000000000e+11,4.359105957000000000e+13,4.370141019000000000e+13,9.819391108261866716e-03
1.661272522000000000e+11,4.413003880000000000e+13,4.423974881000000000e+13,9.762210041060034177e-03
1.715808986000000000e+11,4.469075802000000000e+13,4.479973470000000000e+13,9.676695405063859973e-03
1.772135779000000000e+11,4.527596735000000000e+13,4.538410764000000000e+13,9.559574598448628696e-03
1.830311676000000000e+11,4.588892746000000000e+13,4.599611605000000000e+13,9.409346887779512086e-03
1.890397378000000000e+11,4.653338017000000000e+13,4.663948733000000000e+13,9.227034877937197177e-03
1.952455581000000000e+11,4.721345422000000000e+13,4.731833362000000000e+13,9.016278439059359148e-03
2.016551039000000000e+11,4.793355240000000000e+13,4.803703879000000000e+13,8.782923539248234379e-03
2.082750630000000000e+11,4.869819250000000000e+13,4.880009965000000000e+13,8.534846330671964215e-03
2.151123430000000000e+11,4.951174520000000000e+13,4.961186425000000000e+13,8.281441967754194985e-03
2.221740781000000000e+11,5.037814312000000000e+13,5.047624167000000000e+13,8.032718629553497330e-03
2.294676367000000000e+11,5.130054606000000000e+13,5.139636819000000000e+13,7.798607886097674337e-03
2.370006292000000000e+11,5.228098842000000000e+13,5.237425605000000000e+13,7.588407736521895694e-03
2.447809157000000000e+11,5.332003813000000000e+13,5.341045373000000000e+13,7.410439655945162338e-03
2.528166144000000000e+11,5.441650607000000000e+13,5.450375706000000000e+13,7.271881846063308827e-03
2.611161101000000000e+11,5.556725797000000000e+13,5.565102248000000000e+13,7.178761549254913769e-03
2.696880626000000000e+11,5.676716353000000000e+13,5.684711750000000000e+13,7.136013495597635925e-03
2.785414163000000000e+11,5.800923474000000000e+13,5.808505971000000000e+13,7.147574485229535660e-03
2.876854090000000000e+11,5.928494137000000000e+13,5.935633244000000000e+13,7.216794641668659513e-03
2.971295819000000000e+11,6.058458820000000000e+13,6.065126174000000000e+13,7.346607827101911924e-03
3.068837892000000000e+11,6.189787378000000000e+13,6.195957393000000000e+13,7.539470999988619193e-03
3.169582089000000000e+11,6.321446562000000000e+13,6.327096927000000000e+13,7.797671908661393467e-03
3.273633529000000000e+11,6.452448780000000000e+13,6.457560771000000000e+13,8.123347644017842040e-03
3.381100782000000000e+11,6.581898831000000000e+13,6.586457420000000000e+13,8.518403303000618432e-03
3.492095985000000000e+11,6.709025266000000000e+13,6.713019046000000000e+13,8.984627903284581052e-03
3.606734952000000000e+11,6.833197213000000000e+13,6.836618157000000000e+13,9.523811948599025801e-03
3.725137301000000000e+11,6.953926436000000000e+13,6.956769567000000000e+13,1.013785622463813166e-02
3.847426577000000000e+11,7.070859560000000000e+13,7.073122559000000000e+13,1.082865155890968059e-02
3.973730381000000000e+11,7.183766990000000000e+13,7.185449760000000000e+13,1.159804289255543172e-02
4.104180503000000000e+11,7.292525534000000000e+13,7.293629783000000000e+13,1.244824788940808100e-02
4.238913057000000000e+11,7.397094655000000000e+13,7.397623517000000000e+13,1.338175073721700574e-02
4.378068629000000000e+11,7.497501543000000000e+13,7.497459238000000000e+13,1.440120664460501146e-02
